<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;60;11/10/24;120000;872.8;874.6;868.1;868.6;6278
MDMG;60;11/10/24;130000;868.6;872.1;868.3;872;2222
MDMG;60;11/10/24;140000;871.9;873.6;871.3;872.5;1080
MDMG;60;11/10/24;150000;872.5;874.2;872;873;2593
MDMG;60;11/10/24;160000;873;874.4;870;870.1;7340
MDMG;60;11/10/24;170000;870.7;876;869;875.8;6765
MDMG;60;11/10/24;180000;875.8;877.5;872;874;3482
MDMG;60;11/10/24;190000;874.6;876;872.8;874.4;1488
MDMG;60;14/10/24;110000;872;873.7;862.8;869.2;8912
MDMG;60;14/10/24;120000;869.1;871;866.1;868.1;6047
MDMG;60;14/10/24;130000;869.3;870;867.3;869.6;2501
MDMG;60;14/10/24;140000;870;873.6;869.1;873.6;9659
MDMG;60;14/10/24;150000;873.5;878.2;869;870.2;12724
MDMG;60;14/10/24;160000;870.3;873;869.4;872;4207
MDMG;60;14/10/24;170000;872.1;879.8;871.2;877.1;15708
MDMG;60;14/10/24;180000;877.1;878;876.5;877.6;8556
MDMG;60;14/10/24;190000;877.5;878;876.7;878;2506
MDMG;60;15/10/24;110000;878;892.2;876.7;888.5;32183
MDMG;60;15/10/24;120000;888.7;888.9;880.9;885.7;18705
MDMG;60;15/10/24;130000;885.3;887.8;884.6;887;11360
MDMG;60;15/10/24;140000;886.6;890.9;884.2;889.4;20523
MDMG;60;15/10/24;150000;889.5;891;886.8;888.9;13973
MDMG;60;15/10/24;160000;890;891.4;885.3;886.4;8098
MDMG;60;15/10/24;170000;886.4;888.2;885;885.9;4509
MDMG;60;15/10/24;180000;885.9;886;885;885.9;5799
MDMG;60;15/10/24;190000;885.9;885.9;880.5;880.5;4700
MDMG;60;16/10/24;110000;882;892;881.2;888.2;19613
MDMG;60;16/10/24;120000;888.8;895;887.8;892.7;24871
MDMG;60;16/10/24;130000;892.6;894;888;888;10385
MDMG;60;16/10/24;140000;888;888.9;884.1;885.3;14516
MDMG;60;16/10/24;150000;885.2;890.1;884.9;886.6;16668
MDMG;60;16/10/24;160000;886;891;885.7;887.6;16648
MDMG;60;16/10/24;170000;888.1;888.3;884;884.7;6049
MDMG;60;16/10/24;180000;884.6;887.5;884;887.4;4464
MDMG;60;16/10/24;190000;887.4;888.8;884.1;885.5;10816
